Player Name,Birth Year,Nationality,Misc. Notes,Total Games in GoGoD-2009,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9
An Cho-yeong,1979,Korean,became pro in 1993,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8,10,12,6,3,11,19,15,14,16,12,11,16
An Tal-hun,1980,Korean,9d in 2012,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,5,8,5,10,6,7,2,1,
An Yeong-kil,1980,Korean,"name is also translated ""An Yeong-kil"" and ""An Yungkil""...active on KGS, runs gogameguru.com",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,11,14,10,4,3,,2,1,
Aoki Kikuyo,1968,Japanese,"8d in 2000, Aoki Shin'ichi is 9p brother",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,5,2,4,4,1,,6,4,4,4,7,4,4,2,,2,3,4,3
Awaji Shuzo,1949,Japanese,"900 wins, 17th nihon-ki player to do so",180,,,,,,,,,,,,,,,,,,1,,,1,,,4,4,2,3,5,4,19,10,10,5,6,10,16,10,14,5,8,6,8,,1,1,2,6,3,4,4,1,5,1,1,,
Cao Dayuan,1962,Chinese,9d in 1986,291,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,6,6,6,2,13,9,14,11,11,20,16,12,20,12,24,21,13,18,6,11,10,8,9,5,,,,2,1
Ch'oe Ch'eol-han,1985,Korean,"1d in 1997, 9d in 2004",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,14,7,17,41,37,28,21,17,26
Ch'oe Kyu-pyeong,1963,Korean,reached 9d,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,11,14,19,8,9,9,13,7,4,3,2,2,1,6,1,,2
Ch'oe Myeong-hun,1975,Korean,"9d in 2004, Cho Chikun's cousin",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,11,22,25,19,11,15,11,12,12,4,1,3,4,10,11
Chang Hao,1976,Chinese,"9d in 1999, from Shanghai",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,2,6,14,6,12,36,38,34,24,32,25,30,27,19,21,14,37,23,36,29
Chang Su-yeong,1952,Korean,9d in 1992,136,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,2,1,8,10,8,9,10,14,7,11,9,9,7,2,1,5,2,3,1,3,1,7,2,,,,
Che Zewu,1963,Chinese,"7d in 89, Won 1989 World Amateur Go Champs",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,3,1,12,8,7,4,7,11,4,,,1,,,,,,,,1,
Chen Linxin,1963,Chinese,9d in 1993,148,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,1,6,6,3,7,14,12,13,18,16,8,7,10,4,5,,1,3,,8,,,,,,
Chen Shiyuan,1985,Taiwanese,9d in 2011,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,3,10,25,18,8,4
Chen Yaoye,1989,Chinese,5d to 9d in 2007,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,13,10,5,33,22,23,24
Chen Zude,1944,Chinese,9d in 1982,122,,,,,,2,2,2,1,8,4,5,2,,,,,,,6,4,3,4,3,9,10,2,,,,,,,,,1,,8,3,1,7,3,6,5,8,3,2,1,3,,,3,1,,,
Cheong Su-hyeon,1956,Korean,"9d in 1997, the coauthor of Learn to Play Go with Janice Kim, dean of the ""Department of Baduk Studies"" at Myeongji University",99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,6,9,6,11,3,10,6,9,7,5,2,3,5,1,4,2,,4,,1,,1,,,
Chinen Kaori,1974,Japanese,"female, 3d in 1997, married to Yo Kagen",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,2,3,6,7,11,3,5,2,6,7,3,,2,1
